Termo: 109560, anúncio: 525891, posição: [[9]], valor: 0.11175086585264932
Termo: 370964, anúncio: 567092, posição: [[297457]], valor: 0.0
Termo: 287032, anúncio: 616723, posição: [[10]], valor: 0.016846142244488164
Termo: 5185, anúncio: 539778, posição: [[62]], valor: 0.0013383036732649398
Termo: 54260, anúncio: 581565, posição: [[2]], valor: 0.14513287836363764
Termo: 157920, anúncio: 579182, posição: [[4]], valor: 0.06691955004403582
Termo: 240569, anúncio: 570337, posição: [[1]], valor: 0.1100695406639478
Termo: 368449, anúncio: 588179, posição: [[13]], valor: 0.37022677356114375
Termo: 252960, anúncio: 549836, posição: [[6]], valor: 0.0007110528535218775
Termo: 240957, anúncio: 539993, posição: [[3]], valor: 0.1637916636266265
Termo: 115002, anúncio: 566452, posição: [[304537]], valor: 0.0
Termo: 304995, anúncio: 510962, posição: [[3]], valor: 0.055243560132450284
Termo: 437476, anúncio: 589304, posição: [[1]], valor: 0.06108391358191506
Termo: 306452, anúncio: 585663, posição: [[10]], valor: 0.016135603515261943
Termo: 113863, anúncio: 629884, posição: [[15]], valor: 0.0170484214467868
Termo: 289429, anúncio: 614234, posição: [[9]], valor: 0.02288692857193095
Termo: 321842, anúncio: 548432, posição: [[10]], valor: 0.017893241101005278
Termo: 11598, anúncio: 633319, posição: [[13]], valor: 0.03370667042800322
Termo: 17181, anúncio: 535234, posição: [[76]], valor: 0.04028008452352508
Termo: 125512, anúncio: 649296, posição: [[216508]], valor: 0.0
Termo: 209328, anúncio: 478644, posição: [[2]], valor: 0.1491279925298402
Termo: 354826, anúncio: 484550, posição: [[443]], valor: 0.00015980520067396877
Termo: 412493, anúncio: 570042, posição: [[11]], valor: 0.030119046112292117
Termo: 420314, anúncio: 592442, posição: [[460]], valor: 0.0014550529431848441
Termo: 139786, anúncio: 517474, posição: [[100]], valor: 0.0038457300326978946
Termo: 246063, anúncio: 550185, posição: [[3]], valor: 0.01875520240622173
Termo: 347477, anúncio: 588198, posição: [[1091]], valor: 3.305464326446257e-05
Termo: 345810, anúncio: 535069, posição: [[7]], valor: 0.08140366432213242
Termo: 419900, anúncio: 596627, posição: [[2]], valor: 0.1205988916277356
Termo: 232194, anúncio: 624095, posição: [[240427]], valor: 0.0
Termo: 213401, anúncio: 529529, posição: [[7]], valor: 0.05905702188456642
Termo: 70923, anúncio: 461885, posição: [[1]], valor: 0.0032617113096653208
Termo: 226890, anúncio: 634665, posição: [[6]], valor: 0.0006320201313645171
Termo: 248190, anúncio: 514120, posição: [[659]], valor: 0.00012920540048318288
Termo: 374649, anúncio: 467818, posição: [[16]], valor: 0.0011958129299151734
Termo: 391749, anúncio: 559112, posição: [[44]], valor: 0.0023228885849507705
Termo: 97558, anúncio: 500780, posição: [[19]], valor: 0.004313770138950689
Termo: 427376, anúncio: 597702, posição: [[7]], valor: 0.02193073664424015
Termo: 101945, anúncio: 534508, posição: [[11]], valor: 0.0023202602160730455
Termo: 345518, anúncio: 633961, posição: [[37]], valor: 0.0017025676949679585
Termo: 188278, anúncio: 586397, posição: [[38]], valor: 0.0033779298053660273
Termo: 430608, anúncio: 538964, posição: [[14]], valor: 0.1314392034733677
Termo: 389099, anúncio: 634813, posição: [[1362]], valor: 6.581418978130751e-05
Termo: 348517, anúncio: 559112, posição: [[99]], valor: 0.0037774290994610207
Termo: 333888, anúncio: 488291, posição: [[133]], valor: 0.0015104528415881705
Termo: 384606, anúncio: 497239, posição: [[12]], valor: 0.03961912928228565
Termo: 307522, anúncio: 550529, posição: [[1]], valor: 0.06858573557432333
Termo: 390085, anúncio: 465341, posição: [[7]], valor: 0.11179705881860201
Termo: 32459, anúncio: 598305, posição: [[165625]], valor: 0.0
Termo: 444138, anúncio: 537675, posição: [[33]], valor: 0.0013424192501744227
Termo: 89124, anúncio: 563437, posição: [[6]], valor: 0.04742644839110176
Termo: 147758, anúncio: 525921, posição: [[11]], valor: 0.0016153513240544292
Termo: 181956, anúncio: 620085, posição: [[3]], valor: 0.047020464103663
Termo: 283563, anúncio: 641053, posição: [[5]], valor: 0.030241357613706873
Termo: 440265, anúncio: 646189, posição: [[1]], valor: 0.003945555663264955
